"","precio_gasoleo_a","rotulo","direccion","localidad","provincia"
"1",1.519,"BALLENOIL","CALLE VERSALLES, 17","MADRID","MADRID"
"2",1.529,"BEROIL","CALLE SIMON HERNANDEZ (DE), 73","MOSTOLES","MADRID"
"3",1.529,"PLENOIL","AVENIDA CONSTITUCIÓN, 1","TORREJON DE ARDOZ","MADRID"
"4",1.529,"BALLENOIL","CALLE CHARCA DE LOS PECES, 2","TORREJON DE ARDOZ","MADRID"
"5",1.529,"BALLENOIL","CALLE CIRCUNVALACIÓN, 64","TORREJON DE ARDOZ","MADRID"
"6",1.529,"BALLENOIL","CALLE OLMO, 1","TORREJON DE ARDOZ","MADRID"
"7",1.537,"PLENOIL","CALLE TORRES QUEVEDO, 2","MOSTOLES","MADRID"
"8",1.537,"E.S. TERUGAS","CALLE SIMON HERNANDEZ, 75","MOSTOLES","MADRID"
"9",1.539,"BALLENOIL","CALLE DEL TRIGO, 5","LEGANES","MADRID"
"10",1.539,"PLENOIL","CALLE REY PASTOR, 3","LEGANES","MADRID"
"11",1.539,"PLENOIL","CALLE ALUMINIO, 8","LEGANES","MADRID"
"12",1.539,"PETROPRIX","CALLE RICARDO TORMO, 6","LEGANES","MADRID"
"13",1.539,"BALLENOIL","CALLE REY PASTOR, 16","LEGANES","MADRID"
"14",1.539,"BALLENOIL","CALLE ANGEL NIETO, 2","BUTARQUE","MADRID"
"15",1.539,"PETROL MÓSTOLES","CALLE TORRES QUEVEDO, 6","MOSTOLES","MADRID"
"16",1.539,"PETROPRIX","AVENIDA DE LA CONSTITUCION, 287","TORREJON DE ARDOZ","MADRID"
"17",1.539,"GASEXPRESS","AVENIDA SOL, 50","TORREJON DE ARDOZ","MADRID"
"18",1.539,"PLENOIL","AVENIDA DE LA CONSTITUCION, 249","TORREJON DE ARDOZ","MADRID"
"19",1.539,"BALLENOIL","AVENIDA INDUSTRIA, 44","TRES CANTOS","MADRID"
"20",1.539,"PLENOIL","AVENIDA INDUSTRIA (DE LA), 52","TRES CANTOS","MADRID"
"21",1.544,"TIPSA","CALLE MAR EGEO, 1","SAN FERNANDO DE HENARES","MADRID"
"22",1.545,"E.LECLERC","AVENIDA PREMIOS NOBEL, 1","TORREJON DE ARDOZ","MADRID"
"23",1.545,"LAVAPLUS","CARRETERA DE LA BASE KM. S/N","BASE AEREA","MADRID"
"24",1.547,"BALLENOIL","CL CRTA. DE TORRELODONES, 10","GALAPAGAR","MADRID"
"25",1.547,"PLENOIL","CALLE COLMENAREJO, 54","GALAPAGAR","MADRID"
"26",1.547,"BALLENOIL","CALLE CARRETERA DE EL ESCORIAL, 94","GALAPAGAR","MADRID"
"27",1.547,"PETROPRIX","CALLE BARBERO DE SEVILLA EL, 2","MAJADAHONDA","MADRID"
"28",1.549,"TEB","CALLE ALMANZOR, 11","FUENLABRADA","MADRID"
"29",1.549,"BALLENOIL","CALLE FRAGUA, 16","MOSTOLES","MADRID"
"30",1.549,"BALLENOIL","CALLE ALFONSO XII, 20","MOSTOLES","MADRID"
"31",1.549,"FAST FUEL","CALLE MARIO VARGAS LLOSA, 4","TORREJON DE ARDOZ","MADRID"
"32",1.549,"STORE FUEL","CALLE SOLANA, 56","TORREJON DE ARDOZ","MADRID"
"33",1.549,"BALLENOIL","AVENIDA AVENIDA DE LAS MORCILLERAS, 1","VALDEMORO","MADRID"
"34",1.553,"CDT","CALLE ERATOSTENES, 15","GETAFE","MADRID"
"35",1.554,"BALLENOIL","CALLE TOLEDO CV VIA DE RONDA, SN","PARLA","MADRID"
"36",1.555,"BALLENOIL","CALLE ANETO, 1","FUENLABRADA","MADRID"
"37",1.557,"PLENOIL","CALLE LUIS SAUQUILLO, 131","FUENLABRADA","MADRID"
"38",1.557,"PLENOIL","CALLE ENEBRO, 17","FUENLABRADA","MADRID"
"39",1.557,"PLENOIL","CALLE LUIS SAUQUILLO, 86","FUENLABRADA","MADRID"
"40",1.557,"BALLENOIL","AVENIDA FUENLABRADA, 6","HUMANES DE MADRID","MADRID"
"41",1.558,"LAS PALMERAS","RONDA COMUNIDADES (DE LAS), 107","VALDEMORO","MADRID"
"42",1.559,"PLENOIL","CALLE AZUELA, 62","COLLADO VILLALBA","MADRID"
"43",1.559,"PLENOIL","CALLE ESTACION, 40","ESCORIAL (EL)","MADRID"
"44",1.559,"CARBURANTES REQUES","CALLE JUSTINA VELASCO MARTIN, 1","GALAPAGAR","MADRID"
"45",1.559,"PLENOIL","AVENIDA LOS ROSALES, 15","MADRID","MADRID"
"46",1.559,"BALLENOIL","AVENIDA OROVILLA, 22","MADRID","MADRID"
"47",1.559,"BALLENOIL","CALLE REUS, 13","MADRID","MADRID"
"48",1.559,"PETROPRIX","CALLE SECOYA, 12","MADRID","MADRID"
"49",1.559,"ION +","CALLE MUGUET, 12","MADRID","MADRID"
"50",1.564,"PLENOIL","CALLE TOLEDO, 40","PARLA","MADRID"
"51",1.567,"BALLENOIL","CALLE CONSTITUCION, 81","FUENLABRADA","MADRID"
"52",1.567,"PETROPRIX","CALLE CONSTITUCION (DE LA), 100","FUENLABRADA","MADRID"
"53",1.567,"PETROPRIX","AVENIDA DE LA CANTUEÑA, 8","FUENLABRADA","MADRID"
"54",1.567,"PETROPRIX","AVENIDA RONDA (DE), S/N","PARLA","MADRID"
"55",1.569,"GASEXPRESS","CARRETERA DAGANZO KM. 3","ALCALA DE HENARES","MADRID"
"56",1.569,"BALLENOIL","CALLE VARSOVIA, 2","ALCALA DE HENARES","MADRID"
"57",1.569,"BALLENOIL","CARRETERA DAGANZO KM. 5","ALCALA DE HENARES","MADRID"
"58",1.569,"LAVAPLUS","AVENIDA DE EUROPA, 15","ALCORCON","MADRID"
"59",1.569,"BALLENOIL","CALLE AZUELA, 73","COLLADO VILLALBA","MADRID"
"60",1.569,"BALLENOIL","CALLE ESCOFINA, 3","COLLADO VILLALBA","MADRID"
"61",1.569,"BALLENOIL","CALLE TOMILLO DEL, 4","COLMENAR VIEJO","MADRID"
"62",1.569,"PETROPRIX","AVENIDA DE LOS REYES, 2","COLMENAR VIEJO","MADRID"
"63",1.569,"BALLENOIL","CALLE VIZCAYA, 24","FORTUNA","MADRID"
"64",1.569,"PETROPRIX","CALLE VIZCAYA, 17","LEGANES","MADRID"
"65",1.569,"PLENOIL","CALLE SAN DALMACIO, 13","MADRID","MADRID"
"66",1.569,"BALLENOIL","CALLE RESINA, 4","MADRID","MADRID"
"67",1.569,"BALLENOIL","CALLE ARROYO DE LA BULERA, S/N","MADRID","MADRID"
"68",1.569,"BALLENOIL","CALLE LA ACEBEDA, 1","MADRID","MADRID"
